Rank,Title,Score,Your Score,Status
1,"Ousama Ranking Watch Promotional Video   TV (23 eps) Oct 2021 - 126,270 members",8.85,N/A,Add to list
2,"JoJo no Kimyou na Bouken Part 6: Stone Ocean Watch Promotional Video   ONA (? eps) Dec 2021 - 216,549 members",8.81,N/A,Add to list
3,"Kimetsu no Yaiba: Yuukaku-hen Watch Promotional Video   TV (? eps) Dec 2021 - 309,075 members",8.69,N/A,Add to list
4,"Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 Watch Promotional Video   TV (12 eps) Oct 2021 - Dec 2021 364,125 members",8.68,N/A,Add to list
5,"One Piece Watch Episode Video   TV (? eps) Oct 1999 - 1,716,609 members",8.61,N/A,Add to list
6,"86 Part 2 Watch Promotional Video   TV (12 eps) Oct 2021 - 191,206 members Manga Store Volume 1 £4.16 Preview",8.60,N/A,Add to list
7,"Holo no Graffiti   ONA (? eps) May 2019 - 40,235 members",8.45,N/A,Add to list
8,"Komi-san wa, Comyushou desu. Watch Promotional Video   TV (? eps) Oct 2021 - 401,053 members",8.29,N/A,Add to list
9,"Detective Conan Watch Episode Video   TV (? eps) Jan 1996 - 291,802 members",8.16,N/A,Add to list
10,"World Trigger 3rd Season Watch Episode Video   TV (12 eps) Oct 2021 - 53,356 members",8.15,N/A,Add to list
11,"Xian Wang de Richang Shenghuo 2   ONA (12 eps) Oct 2021 - 37,918 members",7.94,N/A,Add to list
12,"Doupo Cangqiong: San Nian Zhi Yue Watch Promotional Video   ONA (13 eps) Oct 2021 - 1,540 members",7.89,N/A,Add to list
13,"Senpai ga Uzai Kouhai no Hanashi Watch Promotional Video   TV (12 eps) Oct 2021 - 146,759 members",7.86,N/A,Add to list
14,"Takt Op. Destiny Watch Episode Video   TV (? eps) Oct 2021 - 296,247 members",7.76,N/A,Add to list
15,"Blue Period Watch Promotional Video   TV (12 eps) Oct 2021 - Dec 2021 231,203 members Manga Store Volume 1 £9.99 Preview",7.75,N/A,Add to list
16,"Crayon Shin-chan   TV (? eps) Apr 1992 - 67,380 members",7.73,N/A,Add to list
17,"Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi Watch Promotional Video   OVA (3 eps) Sep 2021 - Sep 2022 39,311 members",7.68,N/A,Add to list
18,"Taishou Otome Otogibanashi Watch Promotional Video   TV (12 eps) Oct 2021 - 61,935 members",7.68,N/A,Add to list
19,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru Watch Episode Video   TV (12 eps) Oct 2021 - 229,296 members",7.67,N/A,Add to list
20,"Mini Dragon Specials   Special (8 eps) Jul 2021 - Jan 2022 25,806 members",7.63,N/A,Add to list
21,"Isekai Shokudou 2 Watch Episode Video   TV (12 eps) Oct 2021 - 46,894 members",7.62,N/A,Add to list
22,"Doraemon (2005)   TV (? eps) Apr 2005 - 15,267 members",7.59,N/A,Add to list
23,"Lupin III: Part 6 Watch Episode Video   TV (24 eps) Oct 2021 - 13,527 members",7.54,N/A,Add to list
24,"Fate/Grand Order   Special (? eps) Dec 2014 - 27,798 members",7.48,N/A,Add to list
25,"Obey Me! Watch Promotional Video   ONA (? eps) Jul 2021 - 27,004 members",7.48,N/A,Add to list
26,"Mieruko-chan Watch Promotional Video   TV (12 eps) Oct 2021 - 250,193 members Manga Store Volume 1 £4.49 Preview",7.46,N/A,Add to list
27,"Douluo Dalu: Xiaowu Fuhuo   ONA (13 eps) Nov 2021 - 1,205 members",7.40,N/A,Add to list
28,"Tsuki to Laika to Nosferatu Watch Promotional Video   TV (12 eps) Oct 2021 - 81,917 members",7.38,N/A,Add to list
29,"Shiroi Suna no Aquatope Watch Episode Video   TV (24 eps) Jul 2021 - 125,474 members",7.37,N/A,Add to list
30,"Wushen Zhuzai   ONA (272 eps) Mar 2020 - 2,546 members",7.35,N/A,Add to list
31,"Ling Jian Zun 4th Season   ONA (180 eps) Sep 2020 - 1,562 members",7.35,N/A,Add to list
32,"Saihate no Paladin Watch Episode Video   TV (12 eps) Oct 2021 - 149,771 members",7.30,N/A,Add to list
33,"Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou Watch Promotional Video   TV (12 eps) Oct 2021 - 14,440 members",7.26,N/A,Add to list
34,"Selection Project Watch Promotional Video   TV (13 eps) Oct 2021 - 25,507 members",7.25,N/A,Add to list
35,"BanG Dream! Garupa☆Pico Fever! Watch Promotional Video   ONA (? eps) Oct 2021 - 2,604 members",7.23,N/A,Add to list
36,"Chibi Maruko-chan (1995)   TV (? eps) Jan 1995 - 3,629 members",7.23,N/A,Add to list
37,"Hifuu Katsudou Kiroku: The Sealed Esoteric History   OVA (? eps) Dec 2015 - 6,146 members",7.21,N/A,Add to list
38,"Pokemon (2019) Watch Promotional Video   TV (? eps) Nov 2019 - 56,493 members",7.18,N/A,Add to list
39,"Pokemon Evolutions Watch Promotional Video   ONA (8 eps) Sep 2021 - Dec 2021 7,329 members",7.18,N/A,Add to list
40,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita Watch Promotional Video   TV (13 eps) Oct 2021 - 137,946 members",7.18,N/A,Add to list
41,"Wanmei Shijie Watch Promotional Video   ONA (78 eps) Apr 2021 - 3,458 members",7.18,N/A,Add to list
42,"MILGЯAM   Music (? eps) May 2020 - 1,891 members",7.17,N/A,Add to list
43,"Tropical-Rouge! Precure Watch Episode Video   TV (? eps) Feb 2021 - 7,393 members",7.17,N/A,Add to list
44,"Choujigen Game Neptune The Animation OVA Watch Promotional Video   OVA (3 eps) Jul 2019 - 10,507 members",7.16,N/A,Add to list
45,"Digimon Ghost Game Watch Episode Video   TV (? eps) Oct 2021 - 12,128 members",7.15,N/A,Add to list
46,"Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou Watch Promotional Video   TV (? eps) Oct 2021 - 24,954 members",7.14,N/A,Add to list
47,"Dragon Quest: Dai no Daibouken (2020) Watch Episode Video   TV (? eps) Oct 2020 - 54,106 members",7.12,N/A,Add to list
48,"Kaginado Watch Episode Video   TV (? eps) Oct 2021 - 18,400 members",7.12,N/A,Add to list
49,"Poketoon   ONA (? eps) Jun 2020 - 4,235 members",7.11,N/A,Add to list
50,"Nintama Rantarou   TV (? eps) Apr 1993 - 6,088 members",7.07,N/A,Add to list
